,epi_len,epi_rew,total_step,ave_loss
331,88.0,-8.147710468832024,29216.0,0.0015703119094144893
332,88.0,-5.31672297221964,29304.0,0.0016746443183034319
333,88.0,-13.490994600626433,29392.0,0.0013544751034880226
334,88.0,-9.810453781813637,29480.0,0.0012212548053040255
335,88.0,-8.248749613353755,29568.0,0.001386080619836734
336,88.0,-7.520707018204072,29656.0,0.0014845177965154025
337,88.0,-11.637635268539746,29744.0,0.0015270336430562152
338,88.0,-8.545449182732794,29832.0,0.0015914903620300306
339,88.0,-3.953268333498177,29920.0,0.0009302045509684831
340,88.0,-12.434178003287155,30008.0,0.005920255956218832
341,88.0,-2.9111966487567065,30096.0,0.057101930576291954
342,88.0,-14.017234572069873,30184.0,0.05665366228839213
343,88.0,-14.014619022004233,30272.0,0.030599558789452367
344,88.0,-19.065803959164555,30360.0,0.020497770281508565
345,88.0,-3.5263426122447523,30448.0,0.02856883415105668
346,88.0,-11.145618535750518,30536.0,0.08817764540964906
347,88.0,-3.1838029999731594,30624.0,0.03638641002841971
348,88.0,-8.074795620409532,30712.0,0.009878978090868755
349,88.0,-9.209945197928086,30800.0,0.03465533967722546
350,88.0,-7.082376559190249,30888.0,0.01639431384815411
351,88.0,-9.373823608753984,30976.0,0.02418344245630909
352,88.0,-9.969164589970463,31064.0,0.03689407091587782
353,88.0,-12.934064690915992,31152.0,0.019106025257232515
354,88.0,0.6172717109515549,31240.0,0.013599738986654715
355,88.0,-7.372579041568049,31328.0,0.015781885330480607
356,88.0,-5.125801018043507,31416.0,0.022762605412439865
357,88.0,-7.810856195795081,31504.0,0.018817496052096514
358,88.0,-8.95909422528967,31592.0,0.014656663120893592
359,88.0,-8.457455518118367,31680.0,0.026239711643111976
360,88.0,-4.615751016137208,31768.0,0.021253485476005484
361,88.0,-10.815308393391561,31856.0,0.05814249036748978
362,88.0,-5.9564830298237705,31944.0,0.023691770324314184
363,88.0,-6.3954130808816965,32032.0,0.018621986901218242
364,88.0,-10.698578083415855,32120.0,0.014755531320009719
365,88.0,-0.12632368984040787,32208.0,0.014796934408051047
366,88.0,-10.77289241151706,32296.0,0.01747671849178997
367,88.0,-6.192507213509819,32384.0,0.026165257758376272
368,88.0,-8.57666006725719,32472.0,0.015559045132249594
369,88.0,0.5710519631746074,32560.0,0.01699334145946936
370,88.0,-10.455601436654284,32648.0,0.016670206752182407
371,88.0,-7.3917650182037065,32736.0,0.01747903056358072
372,88.0,-4.330157880339266,32824.0,0.016919166908006777
373,88.0,-10.018573751756222,32912.0,0.023798785468732767
374,88.0,-7.9167986934124315,33000.0,0.020545171467926015
375,88.0,-4.584598412793441,33088.0,0.015461015589111908
376,88.0,-9.143983368735915,33176.0,0.023704760051755744
377,88.0,-6.969206340504799,33264.0,0.022461559157818556
378,88.0,-7.164146631441363,33352.0,0.014995986384085634
379,88.0,-5.869157983218702,33440.0,0.023114416981115937
380,88.0,-14.04766312043034,33528.0,0.018299009608612818
381,88.0,-5.476941955144227,33616.0,0.06075428883460435
382,88.0,-4.04225538899429,33704.0,0.02222168748266995
383,88.0,-14.272238383297015,33792.0,0.02839207600548186
384,88.0,-5.592192177066634,33880.0,0.02285036122934385
385,88.0,-8.906264522187545,33968.0,0.017441442024640062
386,88.0,-5.535834233002235,34056.0,0.022051693956283005
387,88.0,-6.760259461710119,34144.0,0.016191786451434546
388,88.0,-9.757907770276262,34232.0,0.02173804248344492
389,88.0,3.304216851832732,34320.0,0.02180467926981774
390,88.0,-4.774442260566918,34408.0,0.012733691520142284
391,88.0,-7.4587348921735614,34496.0,0.01699453293853863
392,88.0,-4.384788576149992,34584.0,0.020188978513364087
393,88.0,0.7307294654636971,34672.0,0.011872467838905075
394,88.0,-12.925122304476597,34760.0,0.03988795913755894
395,88.0,-7.852007351248481,34848.0,0.015030025229365989
396,88.0,-10.860235033373884,34936.0,0.010537289971993729
397,88.0,-3.653584368273259,35024.0,0.02201993663964624
398,88.0,-17.149342385927397,35112.0,0.03074317340823737
399,88.0,-2.572573314821331,35200.0,0.02265188851478425
400,88.0,-4.125667587774343,35288.0,0.014407316074621949
401,88.0,-4.249181174304446,35376.0,0.02642086729280312
402,88.0,-5.072770561735238,35464.0,0.024003628683699804
403,88.0,-9.26435975055898,35552.0,0.019791678483174605
404,88.0,-13.883265310649715,35640.0,0.013949572415599092
405,88.0,-5.606388237937304,35728.0,0.02300644045780328
406,88.0,-11.56643244150309,35816.0,0.011146898952905427
407,88.0,-8.488490429772817,35904.0,0.014866906641559168
408,88.0,-5.852567625469426,35992.0,0.020760688634419985
409,88.0,-5.601868673390879,36080.0,0.016802781843580306
410,88.0,-6.469759268176878,36168.0,0.029082481749355793
411,88.0,-0.18583805874383685,36256.0,0.013723363316702571
412,88.0,-6.8980751235510445,36344.0,0.020059814771891317
413,88.0,-3.4363567859945454,36432.0,0.018265193709256975
414,88.0,-14.12767227719523,36520.0,0.02921337442768907
415,88.0,-8.547072400626622,36608.0,0.02481630400077186
416,88.0,-6.232074640854243,36696.0,0.018131555058062077
417,88.0,-14.289784962854133,36784.0,0.022592204178429463
418,88.0,-5.379056847344554,36872.0,0.022368485235016455
419,88.0,-5.479679963060198,36960.0,0.010915259428491647
420,88.0,2.7993273609844653,37048.0,0.01871826034039259
421,88.0,-0.562946258228558,37136.0,0.015028712805360556
422,88.0,-2.1980445476148645,37224.0,0.015763436909765005
423,88.0,-1.4088997032621349,37312.0,0.017226452452384612
424,88.0,-6.2761642016404195,37400.0,0.014494331849908287
425,88.0,1.2021781025625915,37488.0,0.019960305822843857
426,88.0,-3.897246891404436,37576.0,0.010543067749081687
427,88.0,-3.104956827692831,37664.0,0.013059622438793833
428,88.0,-5.9708266982635925,37752.0,0.019125694133849305
429,88.0,0.5608812347202441,37840.0,0.011691389965232123
430,88.0,-1.8711109751927846,37928.0,0.014106632421978495
431,88.0,-7.675330943837211,38016.0,0.04375929694453424
432,88.0,-4.7938505640349485,38104.0,0.03095267649570649
433,88.0,-0.16639529825691457,38192.0,0.022065871966664086
434,88.0,-1.5801286796650404,38280.0,0.014384262295524504
435,88.0,-5.535572001497666,38368.0,0.020787437023086983
436,88.0,-2.7872417491620602,38456.0,0.04461687174625695
437,88.0,-9.219712983228568,38544.0,0.02192713227123022
438,88.0,-0.952417322716608,38632.0,0.018479663476517253
439,88.0,-3.9580975076139175,38720.0,0.015055107820609754
440,88.0,-6.066070075934036,38808.0,0.011916246349838648
441,88.0,-0.4409250465527166,38896.0,0.01680175413970243
442,88.0,-2.237197585896127,38984.0,0.019957689885896714
443,88.0,-4.195395987110814,39072.0,0.02293614094907587
444,88.0,-5.335392173904902,39160.0,0.013705448691987178
445,88.0,-5.171515508989348,39248.0,0.01588287932628935
446,88.0,-4.674999411242744,39336.0,0.0249100305267017
447,88.0,-4.691004015329036,39424.0,0.013869319365105846
448,88.0,-5.429406153758661,39512.0,0.018336263950914145
449,88.0,-4.63375472112601,39600.0,0.02056217483583499
450,88.0,-5.1261129610834155,39688.0,0.03347269022329287
451,88.0,-5.469122450286771,39776.0,0.021751152563162825
452,88.0,-7.636567065240501,39864.0,0.01743507196872749
453,88.0,-4.640772130256985,39952.0,0.011456899556585333
454,88.0,3.216806388716199,40040.0,0.015210311161354184
455,88.0,2.4536477055608956,40128.0,0.026318908235142855
456,88.0,-3.1084304129413622,40216.0,0.020209556085650216
457,88.0,2.558149776589354,40304.0,0.020511462628333407
458,88.0,-5.496988164871327,40392.0,0.01439267013814639
459,88.0,-10.30942317400816,40480.0,0.0211453369225968
460,88.0,-3.2604364023470636,40568.0,0.01683326188305562
461,88.0,-0.13821471594045653,40656.0,0.011730640512806449
462,88.0,1.6937808565832857,40744.0,0.020298999840055
463,88.0,-5.156522850457015,40832.0,0.02118084401908246
464,88.0,0.7762262321610502,40920.0,0.015066492604091763
465,88.0,-6.305563585513681,41008.0,0.022915642359293997
466,88.0,-10.067469725609191,41096.0,0.028752425071698697
467,88.0,0.2288968270884495,41184.0,0.020975099453194576
468,88.0,-1.8001335551874142,41272.0,0.01473372462417253
469,88.0,-7.949224671105938,41360.0,0.013548090895214542
470,88.0,-0.886342170226962,41448.0,0.018004913729700176
471,88.0,-9.94021360167079,41536.0,0.025507801805030216
472,88.0,-6.259944786139517,41624.0,0.012612773973325437
473,88.0,-10.969605059845133,41712.0,0.01623375330712985
474,88.0,5.641898709625313,41800.0,0.014416228323666886
475,88.0,-5.021620293131555,41888.0,0.013587202993221581
476,88.0,-8.081659037772944,41976.0,0.014785837001082573
477,88.0,-3.314223141441987,42064.0,0.030485297468575565
478,88.0,-0.9702181264971144,42152.0,0.027155249400741675
479,88.0,-5.718059440602429,42240.0,0.03332256070676853
480,88.0,-10.111814111909258,42328.0,0.01106653701175343
481,88.0,-8.933358544500315,42416.0,0.012242781527509744
482,88.0,-6.399301866025564,42504.0,0.018528792975385757
483,88.0,0.9656768594430265,42592.0,0.011365090920166536
484,88.0,2.076331742884521,42680.0,0.01219457108527422
485,88.0,-5.139783760596185,42768.0,0.016254847424782136
486,88.0,-5.500798274901587,42856.0,0.01664777038703588
487,88.0,-4.376460021038002,42944.0,0.02479905857365917
488,88.0,-12.417887108803246,43032.0,0.011838160836222496
489,88.0,-12.497241129184893,43120.0,0.018448410005393354
490,88.0,-8.386419394996148,43208.0,0.03222035178491338
491,88.0,-12.04196443920112,43296.0,0.020938333166255194
492,88.0,-4.190505207604388,43384.0,0.015133342938497663
493,88.0,3.6504790258620887,43472.0,0.01594045822804963
494,88.0,0.700767764463508,43560.0,0.01715458872389387
495,88.0,-12.298197637779271,43648.0,0.029815056234259497
496,88.0,-0.14964224028058815,43736.0,0.019087936919690532
497,88.0,-1.2892235760253694,43824.0,0.014647675783966075
498,88.0,-13.681053628982887,43912.0,0.018431820800866593
499,88.0,-3.107955215366008,44000.0,0.023170051609419963
500,88.0,0.22174198671480605,44088.0,0.01980751824819229
501,88.0,-3.0781672223638012,44176.0,0.01819078152237291
502,88.0,-3.8241695594639777,44264.0,0.02446684461425651
503,88.0,-2.1215990417593282,44352.0,0.023705445060675793
504,88.0,-5.4416544837091605,44440.0,0.017858037280596116
